###3517006

background	102 111 859 8212 24355 145 2204 546 137 17827 1450 28539 145 873 546 2207 220 10533 6618 131 111 2957 11492 429 137 220 5482 131 3056 576 190 15621 6893 137 6521 11112 1784 205 103
outcome	102 185 2024 1530 545 131 14981 15181 123 2963 137 14981 291 23810 826 191 111 8721 2957 4247 198 106 1135 649 131 2204 137 873 16705 576 4456 106 3646 1211 131 16314 6501 3590 145 12942 546 334 165 302 797 121 494 6903 576 137 300 959 103
background	102 111 3582 501 121 238 527 241 8583 2089 6993 8777 16314 137 21421 190 6993 8777 563 302 190 3873 8777 12942 30113 205 103
outcome	102 655 10212 137 6954 7172 422 188 804 188 7172 131 111 6954 11492 2003 267 20155 214 238 3582 205 103
outcome	102 1154 11157 241 10333 2187 121 755 576 121 111 2435 13505 131 111 2204 137 873 2207 137 4346 576 121 15788 10175 2326 205 103
outcome	102 694 422 106 649 131 16705 576 422 3220 1052 3706 121 111 5270 16705 2340 422 267 8361 2299 190 238 3582 205 103
outcome	102 111 16314 3405 131 16705 3821 241 469 7293 487 502 4041 29447 3697 190 6010 579 12942 422 111 6933 10212 14965 422 137 6130 579 12942 422 111 6933 6954 14965 205 103
outcome	102 755 16705 576 267 6608 168 6010 579 12942 137 106 649 131 1445 469 168 6130 579 12942 205 103
outcome	102 2835 121 11157 190 111 502 4041 241 469 1058 121 15788 10175 2326 862 235 407 2494 106 1638 131 1135 7172 21421 10333 168 6130 579 12942 205 103
outcome	102 407 2116 1313 147 111 5074 131 3056 377 7169 190 2646 147 16314 3405 655 121 16705 137 15788 10175 3821 205 103


###8816620

background	102 147 2100 111 8041 22842 2859 532 147 13627 106 1113 579 2929 15725 25654 579 21865 7159 11561 145 24152 579 106 546 1922 579 3607 11685 1548 21443 4156 1548 27159 205 103
study design	102 5460 422 6880 422 1232 422 705 2859 527 205 103
other	102 1224 6372 2278 205 103
population	102 27075 579 2781 4920 5171 16194 8669 27159 579 365 5809 604 3493 168 15101 205 103
intervention	102 15725 25654 579 21865 7159 11561 6115 21010 18119 179 263 2181 158 234 2337 131 22842 2859 205 103
intervention	102 1168 1801 13575 15725 25654 27934 5297 119 603 15034 1922 579 3607 241 3804 205 103
other	102 8823 1278 422 20407 422 17798 422 137 5564 1975 205 103
outcome	102 425 684 1595 797 467 2181 158 137 2181 2337 7384 205 103
outcome	102 563 4593 191 2181 158 165 475 3717 2090 11716 214 568 137 17695 111 4047 131 2363 22754 24152 579 106 121 111 1735 131 130 6327 8019 672 5564 205 103
outcome	102 655 18689 137 16990 120 1481 7384 131 24152 579 106 1113 579 2929 1922 579 3607 220 6918 25863 205 103
outcome	102 121 580 1329 2220 422 568 137 1837 6466 27934 25555 5733 191 2181 158 205 103


###9608840

background	102 12610 2556 2048 2890 6447 137 3254 1135 3139 669 205 103
background	102 9671 137 1495 626 3898 191 2826 422 1824 22435 2031 422 3002 9162 121 2618 1934 2040 205 103
background	102 111 2579 131 238 697 241 147 651 130 4240 429 2933 147 7522 422 5610 137 5230 453 131 568 2338 168 8018 1314 205 103
background	102 168 198 3559 111 3139 3762 429 2400 2180 9523 178 239 205 244 241 501 137 2618 1836 422 1425 147 5682 14234 30131 2568 434 528 1815 205 103
background	102 111 429 4603 604 2400 9230 5508 190 4047 131 4578 5846 147 2400 9230 239 205 1021 234 2400 9230 4405 214 20461 1824 2505 112 3396 205 103
background	102 111 429 11714 4026 453 422 3131 545 422 2180 137 8218 2519 137 776 191 922 3092 137 4929 205 103
background	102 694 111 429 21759 1445 137 7016 111 4737 3578 131 1425 147 1161 137 2397 3097 205 103
background	102 2279 137 3594 5877 1301 147 697 469 168 482 302 8818 190 2556 2068 205 103


###2328665

background	102 121 106 2659 579 996 579 4289 3672 1454 5255 958 131 1953 2675 121 111 7980 137 1028 335 181 422 12940 26538 5930 19658 235 111 8008 17063 3724 267 1111 190 19201 3788 30113 131 111 2216 4151 9093 188 600 1118 30112 422 6164 5114 5114 23916 579 121 2505 2505 315 103
